id,band_name,fans,formed,origin,split,style
0,Iron Maiden,4195,1975,United Kingdom,2017,"New wave of british heavy,Heavy"
1,Opeth,4147,1990,Sweden,1990,"Extreme progressive,Progressive rock,Progressive"
3,Megadeth,3105,1983,USA,1983,"Thrash,Heavy,Hard rock"
4,Amon Amarth,3054,1988,Sweden,2017,Melodic death
5,Slayer,2955,1981,USA,1981,Thrash
6,Death,2690,1983,USA,2001,"Progressive death,Death,Progressive thrash"
7,Dream Theater,2329,1985,India,1985,Progressive
8,Black Sabbath,2307,1968,United Kingdom,2017,"Doom,Heavy,Hard rock"
20,USC,777,2022,USA,2024,Classical
